ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,lrr
600529.SH,20200825,51.86,52.69,51.81,52.3,51.75,0.55,1.0628,162922.42,851553.855,0.010571939
600529.SH,20200826,52.28,52.29,50,50.3,52.3,-2,-3.8241,179011.05,910414.631,-0.038991294
600529.SH,20200827,50.43,51.04,49,50.53,50.3,0.23,0.4573,174328.6,872464.453,0.004562142
600529.SH,20200828,50.74,51.72,50.01,51.5,50.53,0.97,1.9197,157808.12,806016.364,0.019014588
600529.SH,20200831,51.89,52.09,50.56,50.6,51.5,-0.9,-1.7476,164465.41,840664.826,-0.017630231
600529.SH,20200901,50.06,50.45,49.8,50.15,50.6,-0.45,-0.8893,107145.52,536084.288,-0.008933062
600529.SH,20200902,50.5,50.7,48.72,49.12,50.15,-1.03,-2.0538,182291.99,899538.331,-0.020752231
600529.SH,20200903,49,49.33,47.85,48.07,49.12,-1.05,-2.1376,196159.14,955246.441,-0.021608002
600529.SH,20200904,47.25,49.56,47.15,48.76,48.07,0.69,1.4354,212830.18,1033652.703,0.014252023
600529.SH,20200907,49,50.77,48.5,48.87,48.76,0.11,0.2256,235919.35,1171054.494,0.002253407
600529.SH,20200908,48.75,49.35,46.77,47.3,48.87,-1.57,-3.2126,173803.71,826689.576,-0.032653416
600529.SH,20200909,46.77,46.79,44.58,45.11,47.3,-2.19,-4.63,203383.66,924059.584,-0.047406344
600529.SH,20200910,45.67,46.72,44.67,45.03,45.11,-0.08,-0.1773,133486.25,611833.449,-0.001775017
600529.SH,20200911,45.1,46.82,45.03,46.71,45.03,1.68,3.7308,145764.2,673717.16,0.03662934
600529.SH,20200914,47.08,47.3,44.82,45.22,46.71,-1.49,-3.1899,160203.26,729997.05,-0.032418808
600529.SH,20200915,45.1,46.93,44.7,46.52,45.22,1.3,2.8748,215991.91,992463.969,0.028342861
600529.SH,20200916,46.27,46.83,44.95,45.1,46.52,-1.42,-3.0525,148915.44,677128.18,-0.031000081
600529.SH,20200917,44.72,44.98,42.88,44.28,45.1,-0.82,-1.8182,207234.61,908435.302,-0.018349139
600529.SH,20200918,44.55,45.85,43.96,45.54,44.28,1.26,2.8455,200538.4,905445.132,0.028057953
600529.SH,20200921,45.72,46.34,45.02,45.93,45.54,0.39,0.8564,116358.19,533505.73,0.008527438
600529.SH,20200922,45.95,47.14,45.53,46.61,45.93,0.68,1.4805,228653.84,1061180.588,0.014696612
600529.SH,20200923,46.34,50.11,45.75,49.48,46.61,2.87,6.1575,375080.47,1819453.04,0.059753437
600529.SH,20200924,48.65,51.7,48.24,50.18,49.48,0.7,1.4147,410990.48,2053271.233,0.014047993
600529.SH,20200925,50,51.99,48.4,48.64,50.18,-1.54,-3.069,343709.94,1724876.289,-0.031170303
600529.SH,20200928,48.6,48.65,44.81,45.01,48.64,-3.63,-7.463,259481.29,1195252.55,-0.07756155
600529.SH,20200929,45.03,46.14,43.08,45.36,45.01,0.35,0.7776,207001.76,924580.738,0.007745972
600529.SH,20200930,45.55,46.1,44.71,45.12,45.36,-0.24,-0.5291,127230.64,576153.53,-0.005305052
600529.SH,20201009,45.89,46.89,45.8,46.78,45.12,1.66,3.6791,199614.98,924670.401,0.036130154
600529.SH,20201012,47.12,48.1,46.6,47.62,46.78,0.84,1.7956,224771.69,1064651.433,0.01779708
600529.SH,20201013,47.7,50.41,47.13,49.81,47.62,2.19,4.5989,331427.99,1628060.509,0.044962926
600529.SH,20201014,49.38,50.66,48.58,49.01,49.81,-0.8,-1.6061,290308.15,1441609.572,-0.016191408
