ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,lrr
300750.SZ,20200414,118,126.16,117.5,126.16,114.69,11.47,10.0009,388938.73,4803638.073,0.095318106
300750.SZ,20200415,129.8,131.89,127.23,128,126.16,1.84,1.4585,325644.92,4226641.423,0.014479321
300750.SZ,20200416,128.27,133.71,126.82,132.95,128,4.95,3.8672,216381.1,2835377.036,0.037942854
300750.SZ,20200417,136.08,140.58,135.1,136.95,132.95,4,3.0086,292521.82,4024198.915,0.029642778
300750.SZ,20200420,136.4,136.75,131.88,134.51,136.95,-2.44,-1.7817,187002.33,2507578.389,-0.01797735
300750.SZ,20200421,131.99,132.86,127,130.52,134.51,-3.99,-2.9663,193917.46,2519303.194,-0.030112074
300750.SZ,20200422,127.33,132.3,127.3,130.85,130.52,0.33,0.2528,146868.85,1904011.483,0.002525157
300750.SZ,20200423,132.9,132.9,128.6,129.9,130.85,-0.95,-0.726,125378.57,1635621.701,-0.007286705
300750.SZ,20200424,130,136,130,131.69,129.9,1.79,1.378,169916.48,2263542.699,0.013685752
300750.SZ,20200427,133.02,136,132.08,133.91,131.69,2.22,1.6858,143654.53,1933994.988,0.016717257
300750.SZ,20200428,137,140.1,131.62,138.3,133.91,4.39,3.2783,226916.56,3115997.363,0.032257306
300750.SZ,20200429,136.13,140.19,136.01,138.72,138.3,0.42,0.3037,119544.08,1659513.004,0.003032274
300750.SZ,20200430,144,148.51,144,144.38,138.72,5.66,4.0802,233385.21,3409837.973,0.0399912
300750.SZ,20200506,139,146.8,138.75,145.79,144.38,1.41,0.9766,191463.91,2769607.852,0.009718517
300750.SZ,20200507,146.3,147.2,141,143.2,145.79,-2.59,-1.7765,160786.8,2302059.541,-0.017924976
300750.SZ,20200508,143,145.22,140.89,144.08,143.2,0.88,0.6145,141338.8,2024998.124,0.006126446
300750.SZ,20200511,144.2,145.98,135.06,137.62,144.08,-6.46,-4.4836,285364.31,3959234.289,-0.045872437
300750.SZ,20200512,139.06,139.88,135.73,139,137.62,1.38,1.0028,160276.6,2208624.438,0.009977669
300750.SZ,20200513,137.33,139.65,136.88,138.26,139,-0.74,-0.5324,121542.42,1678255.895,-0.005337963
300750.SZ,20200514,137.85,138.25,135.5,135.6,138.26,-2.66,-1.9239,114334.88,1560698.259,-0.019426595
300750.SZ,20200515,139.94,147.69,138.96,145.48,135.6,9.88,7.2861,322121.18,4605864.489,0.070329245
300750.SZ,20200518,145,145,139.69,141.81,145.48,-3.67,-2.5227,160889.36,2287442.333,-0.025550487
300750.SZ,20200519,143.2,145.8,142.52,143.26,141.81,1.45,1.0225,104251.83,1499320.586,0.010173028
300750.SZ,20200520,150,155.4,149.01,149.3,143.26,6.04,4.2161,329692.79,5027432.242,0.041296543
